变量名,类型/位号,读位置,写位置,用途推断,相关轴号,风险说明
iAxisSubType,global int,1st.prg:8848,,通用控制变量,,中
iAxisType,global int,1st.prg:8848,,通用控制变量,,中
iCARAIChannel,local int,1st.prg:582;1st.prg:611;1st.prg:620;1st.prg:1189;1st.prg:1218;1st.prg:1227;1st.prg:2499;1st.prg:2528;1st.prg:2537;1st.prg:3192;1st.prg:3221;1st.prg:3230;1st.prg:3885;1st.prg:3914;1st.prg:3923;1st.prg:4578;1st.prg:4607;1st.prg:4616;1st.prg:5271;1st.prg:5300;1st.prg:5309;1st.prg:5964;1st.prg:5993;1st.prg:6002,1st.prg:583;1st.prg:602;1st.prg:604;1st.prg:606;1st.prg:608;1st.prg:1190;1st.prg:1209;1st.prg:1211;1st.prg:1213;1st.prg:1215;1st.prg:2500;1st.prg:2519;1st.prg:2521;1st.prg:2523;1st.prg:2525;1st.prg:3193;1st.prg:3212;1st.prg:3214;1st.prg:3216;1st.prg:3218;1st.prg:3886;1st.prg:3905;1st.prg:3907;1st.prg:3909;1st.prg:3911;1st.prg:4579;1st.prg:4598;1st.prg:4600;1st.prg:4602;1st.prg:4604;1st.prg:5272;1st.prg:5291;1st.prg:5293;1st.prg:5295;1st.prg:5297;1st.prg:5965;1st.prg:5984;1st.prg:5986;1st.prg:5988;1st.prg:5990,局部计算/临时变量,,低
iCARAxis,local int,1st.prg:7738;1st.prg:7763;1st.prg:7770;1st.prg:7771;1st.prg:7782;1st.prg:7789;1st.prg:7796;1st.prg:7803;1st.prg:7810;1st.prg:7818,1st.prg:7746;1st.prg:7747;1st.prg:7751,局部计算/临时变量,,低
iCar_Interlock_Cmd,global int,1st.prg:18;1st.prg:38;1st.prg:715;1st.prg:736;1st.prg:1935;1st.prg:1955;1st.prg:2628;1st.prg:2648;1st.prg:3321;1st.prg:3341;1st.prg:4014;1st.prg:4034;1st.prg:4707;1st.prg:4727;1st.prg:5400;1st.prg:5420;1st.prg:6897;1st.prg:7103;1st.prg:7142;1st.prg:10845;1st.prg:11002,1st.prg:7008,互锁/运动阻止逻辑,,高
iCar_Stage_Home_Cmd,global int,1st.prg:6898;1st.prg:7103,1st.prg:7009,通用控制变量,,中
iControlMode0,global int tag 1006,1st.prg:11494,,通用控制变量,0,中
iControlMode1,global int tag 1206,1st.prg:1535;1st.prg:1553;1st.prg:1591;1st.prg:1627;1st.prg:1719;1st.prg:1722;1st.prg:1911;1st.prg:1913;1st.prg:1916;1st.prg:1918;1st.prg:11040;1st.prg:11576,1st.prg:1439;1st.prg:1782;1st.prg:1792,通用控制变量,1,中
iControlMode2,global int tag 1106,1st.prg:11535,,通用控制变量,2,中
iControlMode3,global int tag 1306,1st.prg:11616,,通用控制变量,3,中
iControlMode4,global int tag 1406,1st.prg:11656,,通用控制变量,4,中
iControlMode5,global int tag 1606,1st.prg:11734,,通用控制变量,5,中
iControlMode6,global int tag 1506,1st.prg:11695,,通用控制变量,6,中
iControlMode7,global int tag 1706,1st.prg:11773,,通用控制变量,7,中
iControlModePrev,local int,1st.prg:1397;1st.prg:1911;1st.prg:1916,1st.prg:1440;1st.prg:1913;1st.prg:1918,局部计算/临时变量,,低
iControlProcessState,global int,1st.prg:8438;1st.prg:8554;1st.prg:9511;1st.prg:9927;1st.prg:9928;1st.prg:9929;1st.prg:9930;1st.prg:9931;1st.prg:9932;1st.prg:9933;1st.prg:9934;1st.prg:11026;1st.prg:11422,1st.prg:39;1st.prg:43;1st.prg:174;1st.prg:623;1st.prg:737;1st.prg:741;1st.prg:800;1st.prg:1230;1st.prg:1956;1st.prg:1960;1st.prg:2091;1st.prg:2540;1st.prg:2649;1st.prg:2653;1st.prg:2784;1st.prg:3233;1st.prg:3342;1st.prg:3346;1st.prg:3477;1st.prg:3926;1st.prg:4035;1st.prg:4039;1st.prg:4170;1st.prg:4619;1st.prg:4728;1st.prg:4732;1st.prg:4863;1st.prg:5312;1st.prg:5421;1st.prg:5425;1st.prg:5556;1st.prg:6005;1st.prg:7131;1st.prg:7138;1st.prg:7144;1st.prg:8321;1st.prg:8413;1st.prg:8429;1st.prg:8439;1st.prg:8519;1st.prg:8535;1st.prg:8550;1st.prg:8555;1st.prg:8556;1st.prg:9512;1st.prg:9983;1st.prg:9999;1st.prg:10015;1st.prg:10016;1st.prg:10027;1st.prg:10028;1st.prg:10055;1st.prg:10112;1st.prg:10120;1st.prg:10136;1st.prg:10182;1st.prg:10233;1st.prg:10290;1st.prg:10333;1st.prg:10391;1st.prg:10441;1st.prg:10442;1st.prg:10556;1st.prg:10557;1st.prg:10689;1st.prg:10833;1st.prg:10953;1st.prg:11006;1st.prg:11027;1st.prg:11044;1st.prg:11119;1st.prg:11166;1st.prg:11170;1st.prg:11237;1st.prg:11307;1st.prg:11319;1st.prg:11332;1st.prg:11344;1st.prg:11357;1st.prg:11370;1st.prg:11383;1st.prg:11396,通用控制变量,,中
iCurrentRampingPoint,local int,1st.prg:1397;1st.prg:1568,1st.prg:1530;1st.prg:1644;1st.prg:1746,局部计算/临时变量,,低
iExtCommanded,unknown unknown,1st.prg:8299;1st.prg:8332;1st.prg:8417;1st.prg:8448;1st.prg:10374;1st.prg:10668,1st.prg:8235;1st.prg:8355;1st.prg:8427;1st.prg:10386;1st.prg:10562;1st.prg:10678,通用控制变量,,中
iExtMoving,unknown unknown,1st.prg:8653;1st.prg:8851;1st.prg:10374;1st.prg:10668,1st.prg:8240;1st.prg:8356;1st.prg:8428;1st.prg:9264;1st.prg:10387;1st.prg:10679,通用控制变量,,中
iHomingMethod,global int,1st.prg:152;1st.prg:159;1st.prg:170;1st.prg:770;1st.prg:785;1st.prg:796;1st.prg:2069;1st.prg:2076;1st.prg:2087;1st.prg:2762;1st.prg:2769;1st.prg:2780;1st.prg:3455;1st.prg:3462;1st.prg:3473;1st.prg:4148;1st.prg:4155;1st.prg:4166;1st.prg:4841;1st.prg:4848;1st.prg:4859;1st.prg:5534;1st.prg:5541;1st.prg:5552;1st.prg:8972;1st.prg:10281;1st.prg:10319;1st.prg:10325;1st.prg:10357;1st.prg:10423;1st.prg:10749;1st.prg:11449,,通用控制变量,,中
iIndex,local int,1st.prg:10570;1st.prg:10576;1st.prg:10577;1st.prg:10584;1st.prg:10585;1st.prg:10595;1st.prg:10599;1st.prg:10604;1st.prg:10607;1st.prg:10609;1st.prg:10610;1st.prg:10611;1st.prg:10612;1st.prg:10613;1st.prg:10614,1st.prg:10574;1st.prg:10578;1st.prg:10581;1st.prg:10588;1st.prg:10592;1st.prg:10617,局部计算/临时变量,,低
iInterlockBehavior,global int,1st.prg:8964;1st.prg:10288;1st.prg:10292;1st.prg:11441,,互锁/运动阻止逻辑,,高
iInterlockEnabled,global int,1st.prg:38;1st.prg:736;1st.prg:1955;1st.prg:2648;1st.prg:3341;1st.prg:4034;1st.prg:4727;1st.prg:5420;1st.prg:8963;1st.prg:9136;1st.prg:9141;1st.prg:9879;1st.prg:9883;1st.prg:9885;1st.prg:9889;1st.prg:9890;1st.prg:9892;1st.prg:9893;1st.prg:9894;1st.prg:9895;1st.prg:9896;1st.prg:10287;1st.prg:10997;1st.prg:11439,,互锁/运动阻止逻辑,,高
iInverseInterlockLogic,global int,1st.prg:8978;1st.prg:9416;1st.prg:11460,,互锁/运动阻止逻辑,,高
iKillTrajVar,local int,1st.prg:8869;1st.prg:10118;1st.prg:10133,1st.prg:10101;1st.prg:10102;1st.prg:10103;1st.prg:10104;1st.prg:10105;1st.prg:10106;1st.prg:10107;1st.prg:10108,局部计算/临时变量,,低
iLLDoorOpened,local int,1st.prg:8857;1st.prg:10223,1st.prg:9227;1st.prg:9229;1st.prg:9396;1st.prg:9398;1st.prg:10185;1st.prg:10226,局部计算/临时变量,,低
iLLDoorOpened2,local int,1st.prg:8857;1st.prg:10274,1st.prg:9232;1st.prg:9234;1st.prg:10236;1st.prg:10277,局部计算/临时变量,2,低
iLl_Interlock_Cmd,global int,1st.prg:16;1st.prg:38;1st.prg:713;1st.prg:736;1st.prg:1933;1st.prg:1955;1st.prg:2626;1st.prg:2648;1st.prg:3319;1st.prg:3341;1st.prg:4012;1st.prg:4034;1st.prg:4705;1st.prg:4727;1st.prg:5398;1st.prg:5420;1st.prg:6887;1st.prg:7045;1st.prg:7129;1st.prg:10843;1st.prg:11002,1st.prg:6977,互锁/运动阻止逻辑,,高
iLl_Stage_Down_Cmd,global int,1st.prg:6889;1st.prg:6983;1st.prg:6985,1st.prg:6981,通用控制变量,,中
iLl_Stage_Up_Cmd,global int,1st.prg:6888;1st.prg:6983;1st.prg:6985,1st.prg:6980,通用控制变量,,中
iNeedSLL,local int,1st.prg:32;1st.prg:175;1st.prg:730;1st.prg:801;1st.prg:1949;1st.prg:2092;1st.prg:2642;1st.prg:2785;1st.prg:3335;1st.prg:3478;1st.prg:4028;1st.prg:4171;1st.prg:4721;1st.prg:4864;1st.prg:5414;1st.prg:5557,1st.prg:49;1st.prg:54;1st.prg:747;1st.prg:752;1st.prg:1966;1st.prg:1971;1st.prg:2659;1st.prg:2664;1st.prg:3352;1st.prg:3357;1st.prg:4045;1st.prg:4050;1st.prg:4738;1st.prg:4743;1st.prg:5431;1st.prg:5436,局部计算/临时变量,,低
iNeedSRL,local int,1st.prg:32;1st.prg:179;1st.prg:730;1st.prg:805;1st.prg:1949;1st.prg:2096;1st.prg:2642;1st.prg:2789;1st.prg:3335;1st.prg:3482;1st.prg:4028;1st.prg:4175;1st.prg:4721;1st.prg:4868;1st.prg:5414;1st.prg:5561,1st.prg:50;1st.prg:59;1st.prg:748;1st.prg:757;1st.prg:1967;1st.prg:1976;1st.prg:2660;1st.prg:2669;1st.prg:3353;1st.prg:3362;1st.prg:4046;1st.prg:4055;1st.prg:4739;1st.prg:4748;1st.prg:5432;1st.prg:5441,局部计算/临时变量,,低
iNumOfCARs,local int,1st.prg:7738;1st.prg:7751;1st.prg:7752;1st.prg:7754;1st.prg:7762;1st.prg:7769,1st.prg:7748;1st.prg:7753,局部计算/临时变量,,低
iNumOfRampPoints,local int,1st.prg:1397;1st.prg:1568,1st.prg:1739;1st.prg:1742,局部计算/临时变量,,低
iPreventMove,global int,1st.prg:10997;1st.prg:11169;1st.prg:11453,1st.prg:6753;1st.prg:6755;1st.prg:7643;1st.prg:9095,互锁/运动阻止逻辑,,高
iQcmAxis,global int,1st.prg:7635;1st.prg:8974;1st.prg:9366;1st.prg:11452,,通用控制变量,,中
iRampingDir,local int,1st.prg:1397;1st.prg:1569,1st.prg:1740;1st.prg:1743,局部计算/临时变量,,低
iRotAllowed,unknown unknown,,1st.prg:8441;1st.prg:8548,通用控制变量,,中
iRotCommanded,unknown unknown,1st.prg:8299;1st.prg:8324;1st.prg:8350;1st.prg:8523;1st.prg:10374;1st.prg:10668,1st.prg:8236;1st.prg:8468;1st.prg:8533;1st.prg:10383;1st.prg:10563;1st.prg:10675,通用控制变量,,中
iRotMoving,unknown unknown,1st.prg:8569;1st.prg:8851;1st.prg:10374;1st.prg:10668,1st.prg:8238;1st.prg:8469;1st.prg:8534;1st.prg:9265;1st.prg:10384;1st.prg:10676,通用控制变量,,中
iSPChanged,local int,1st.prg:1397;1st.prg:1591;1st.prg:1595;1st.prg:1627;1st.prg:1631,1st.prg:1417;1st.prg:1596;1st.prg:1632;1st.prg:1828;1st.prg:1844,设定值/目标位置,,高
iSecondAxis,local int,1st.prg:8832,,局部计算/临时变量,,低
iSecondSPEnabled,global int,1st.prg:8966;1st.prg:10332;1st.prg:11440,,设定值/目标位置,,高
iSt_Interlock_Cmd,global int,1st.prg:17;1st.prg:38;1st.prg:714;1st.prg:736;1st.prg:1934;1st.prg:1955;1st.prg:2627;1st.prg:2648;1st.prg:3320;1st.prg:3341;1st.prg:4013;1st.prg:4034;1st.prg:4706;1st.prg:4727;1st.prg:5399;1st.prg:5420;1st.prg:6892;1st.prg:7058;1st.prg:7136;1st.prg:10844;1st.prg:11002,1st.prg:6991,互锁/运动阻止逻辑,,高
iSt_Stage_Down_Cmd,global int,1st.prg:6894;1st.prg:6997;1st.prg:6999,1st.prg:6995,通用控制变量,,中
iSt_Stage_Up_Cmd,global int,1st.prg:6893;1st.prg:6997;1st.prg:6999,1st.prg:6994,通用控制变量,,中
iSwitchedToPressControlMode,local int,1st.prg:1397;1st.prg:1537,1st.prg:1441;1st.prg:1562;1st.prg:1912,局部计算/临时变量,,低
iTimeout,local int,1st.prg:7968;1st.prg:7981;1st.prg:7996;1st.prg:8012,1st.prg:7977;1st.prg:7980;1st.prg:7991;1st.prg:7995;1st.prg:8008;1st.prg:8011,局部计算/临时变量,,低
iTmpIndex,local int,1st.prg:8833;1st.prg:9846;1st.prg:9875,1st.prg:9844;1st.prg:9847;1st.prg:9873;1st.prg:9876,局部计算/临时变量,,低
iType,global int,1st.prg:38;1st.prg:153;1st.prg:159;1st.prg:160;1st.prg:162;1st.prg:598;1st.prg:736;1st.prg:771;1st.prg:774;1st.prg:785;1st.prg:786;1st.prg:788;1st.prg:808;1st.prg:1205;1st.prg:1779;1st.prg:1789;1st.prg:1817;1st.prg:1835;1st.prg:1852;1st.prg:1863;1st.prg:1874;1st.prg:1886;1st.prg:1911;1st.prg:1916;1st.prg:1955;1st.prg:2070;1st.prg:2076;1st.prg:2077;1st.prg:2079;1st.prg:2515;1st.prg:2648;1st.prg:2763;1st.prg:2769;1st.prg:2770;1st.prg:2772;1st.prg:3208;1st.prg:3341;1st.prg:3456;1st.prg:3462;1st.prg:3463;1st.prg:3465;1st.prg:3901;1st.prg:4034;1st.prg:4149;1st.prg:4155;1st.prg:4156;1st.prg:4158;1st.prg:4594;1st.prg:4727;1st.prg:4842;1st.prg:4848;1st.prg:4849;1st.prg:4851;1st.prg:5287;1st.prg:5420;1st.prg:5535;1st.prg:5541;1st.prg:5542;1st.prg:5544;1st.prg:5980;1st.prg:7750;1st.prg:7763;1st.prg:7810;1st.prg:7818;1st.prg:7891;1st.prg:7906;1st.prg:7922;1st.prg:7937;1st.prg:8276;1st.prg:8288;1st.prg:8357;1st.prg:8378;1st.prg:8403;1st.prg:8454;1st.prg:8459;1st.prg:8470;1st.prg:8511;1st.prg:8570;1st.prg:8576;1st.prg:8591;1st.prg:8597;1st.prg:8655;1st.prg:8661;1st.prg:8693;1st.prg:8698;1st.prg:8812;1st.prg:8949;1st.prg:9084;1st.prg:9087;1st.prg:9090;1st.prg:9097;1st.prg:9098;1st.prg:9105;1st.prg:9110;1st.prg:9116;1st.prg:9122;1st.prg:9128;1st.prg:9154;1st.prg:9155;1st.prg:9165;1st.prg:9175;1st.prg:9183;1st.prg:9194;1st.prg:9217;1st.prg:9268;1st.prg:9282;1st.prg:9294;1st.prg:9307;1st.prg:9318;1st.prg:9325;1st.prg:9362;1st.prg:9382;1st.prg:9427;1st.prg:9428;1st.prg:9446;1st.prg:9456;1st.prg:9477;1st.prg:9539;1st.prg:9558;1st.prg:9559;1st.prg:9586;1st.prg:9751;1st.prg:9798;1st.prg:9804;1st.prg:9806;1st.prg:9812;1st.prg:9817;1st.prg:9824;1st.prg:9829;1st.prg:9834;1st.prg:9839;1st.prg:9867;1st.prg:9880;1st.prg:9899;1st.prg:9922;1st.prg:10008;1st.prg:10024;1st.prg:10053;1st.prg:10110;1st.prg:10118;1st.prg:10133;1st.prg:10140;1st.prg:10144;1st.prg:10281;1st.prg:10319;1st.prg:10426;1st.prg:10449;1st.prg:10457;1st.prg:10465;1st.prg:10469;1st.prg:10473;1st.prg:10486;1st.prg:10498;1st.prg:10506;1st.prg:10584;1st.prg:10595;1st.prg:10609;1st.prg:10611;1st.prg:10613;1st.prg:10710;1st.prg:10715;1st.prg:10737;1st.prg:10744;1st.prg:10786;1st.prg:10789;1st.prg:10925;1st.prg:10951;1st.prg:10961;1st.prg:11002;1st.prg:11032;1st.prg:11039;1st.prg:11040;1st.prg:11060;1st.prg:11068;1st.prg:11094;1st.prg:11299;1st.prg:11311;1st.prg:11324;1st.prg:11336;1st.prg:11349;1st.prg:11362;1st.prg:11375;1st.prg:11388;1st.prg:11425,,通用控制变量,,中
ii,local int,1st.prg:10328;1st.prg:10332;1st.prg:10333;1st.prg:10334;1st.prg:10335;1st.prg:10336;1st.prg:10337;1st.prg:10338;1st.prg:10339;1st.prg:10340;1st.prg:10341;1st.prg:10342;1st.prg:10343;1st.prg:10344;1st.prg:10345;1st.prg:10346;1st.prg:10347;1st.prg:10348;1st.prg:10349,1st.prg:10329;1st.prg:10352,局部计算/临时变量,,低
ir_rqst,local int,1st.prg:6170;1st.prg:6259;1st.prg:6279;1st.prg:6286;1st.prg:6293;1st.prg:6300;1st.prg:6307;1st.prg:6324;1st.prg:6377;1st.prg:6399;1st.prg:6414;1st.prg:6429;1st.prg:6443;1st.prg:6457;1st.prg:6471;1st.prg:6485;1st.prg:6522;1st.prg:6530;1st.prg:6537;1st.prg:6544;1st.prg:6552;1st.prg:6559;1st.prg:6566;1st.prg:6573;1st.prg:6907;1st.prg:6968;1st.prg:7155;1st.prg:7263;1st.prg:7319,1st.prg:6233;1st.prg:6234;1st.prg:6236;1st.prg:6237;1st.prg:6238;1st.prg:6258;1st.prg:6278;1st.prg:6285;1st.prg:6292;1st.prg:6299;1st.prg:6306;1st.prg:6320;1st.prg:6321;1st.prg:6322;1st.prg:6370;1st.prg:6371;1st.prg:6376;1st.prg:6398;1st.prg:6413;1st.prg:6428;1st.prg:6442;1st.prg:6456;1st.prg:6470;1st.prg:6484;1st.prg:6521;1st.prg:6529;1st.prg:6536;1st.prg:6543;1st.prg:6551;1st.prg:6558;1st.prg:6565;1st.prg:6572;1st.prg:6944;1st.prg:6945;1st.prg:6946;1st.prg:6947;1st.prg:7187;1st.prg:7188;1st.prg:7189;1st.prg:7190;1st.prg:7294;1st.prg:7295;1st.prg:7296;1st.prg:7297,局部计算/临时变量,,低
ir_rqst_O,local int,1st.prg:7368;1st.prg:7491,1st.prg:7415;1st.prg:7416;1st.prg:7417;1st.prg:7418,局部计算/临时变量,,低
ir_rqst_Q,local int,1st.prg:7366;1st.prg:7472,1st.prg:7410;1st.prg:7411;1st.prg:7412;1st.prg:7413,局部计算/临时变量,,低
ir_rqst_Z,local int,1st.prg:7370;1st.prg:7512,1st.prg:7421;1st.prg:7422;1st.prg:7423;1st.prg:7424,局部计算/临时变量,,低
ir_rspn,local int,1st.prg:6171;1st.prg:6260;1st.prg:6261;1st.prg:6281;1st.prg:6282;1st.prg:6288;1st.prg:6289;1st.prg:6295;1st.prg:6296;1st.prg:6302;1st.prg:6303;1st.prg:6309;1st.prg:6310;1st.prg:6326;1st.prg:6328;1st.prg:6329;1st.prg:6330;1st.prg:6331;1st.prg:6332;1st.prg:6334;1st.prg:6335;1st.prg:6336;1st.prg:6337;1st.prg:6339;1st.prg:6340;1st.prg:6343;1st.prg:6344;1st.prg:6345;1st.prg:6346;1st.prg:6347;1st.prg:6348;1st.prg:6350;1st.prg:6351;1st.prg:6352;1st.prg:6353;1st.prg:6354;1st.prg:6355;1st.prg:6379;1st.prg:6381;1st.prg:6401;1st.prg:6403;1st.prg:6416;1st.prg:6418;1st.prg:6431;1st.prg:6433;1st.prg:6445;1st.prg:6447;1st.prg:6459;1st.prg:6461;1st.prg:6473;1st.prg:6475;1st.prg:6487;1st.prg:6524;1st.prg:6525;1st.prg:6532;1st.prg:6533;1st.prg:6539;1st.prg:6540;1st.prg:6546;1st.prg:6547;1st.prg:6554;1st.prg:6555;1st.prg:6561;1st.prg:6562;1st.prg:6568;1st.prg:6569;1st.prg:6575;1st.prg:6576;1st.prg:6908;1st.prg:6970;1st.prg:6971;1st.prg:6972;1st.prg:6973;1st.prg:6977;1st.prg:6980;1st.prg:6981;1st.prg:6991;1st.prg:6994;1st.prg:6995;1st.prg:7008;1st.prg:7009;1st.prg:7156;1st.prg:7264;1st.prg:7321;1st.prg:7327;1st.prg:7328;1st.prg:7329;1st.prg:7330;1st.prg:7331,,设定值/目标位置,,高
ir_rspn_O,local int,1st.prg:7369;1st.prg:7492;1st.prg:7497;1st.prg:7498;1st.prg:7499;1st.prg:7500;1st.prg:7501;1st.prg:7502;1st.prg:7503;1st.prg:7504,,设定值/目标位置,,高
ir_rspn_Q,local int,1st.prg:7367;1st.prg:7473;1st.prg:7478;1st.prg:7479;1st.prg:7480;1st.prg:7481;1st.prg:7482;1st.prg:7483,,设定值/目标位置,,高
ir_rspn_Z,local int,1st.prg:7371;1st.prg:7513;1st.prg:7518;1st.prg:7520;1st.prg:7521;1st.prg:7522,,设定值/目标位置,,高
iw_rqst,local int,1st.prg:6172;1st.prg:6385;1st.prg:6407;1st.prg:6422;1st.prg:6436;1st.prg:6450;1st.prg:6464;1st.prg:6478;1st.prg:6492;1st.prg:7182;1st.prg:7249;1st.prg:7289;1st.prg:7347,1st.prg:6241;1st.prg:6242;1st.prg:6244;1st.prg:6245;1st.prg:6246;1st.prg:6382;1st.prg:6383;1st.prg:6405;1st.prg:6406;1st.prg:6419;1st.prg:6421;1st.prg:6434;1st.prg:6435;1st.prg:6448;1st.prg:6449;1st.prg:6462;1st.prg:6463;1st.prg:6476;1st.prg:6477;1st.prg:6490;1st.prg:6491;1st.prg:7199;1st.prg:7200;1st.prg:7201;1st.prg:7202;1st.prg:7203;1st.prg:7204;1st.prg:7248;1st.prg:7306;1st.prg:7307;1st.prg:7308;1st.prg:7309;1st.prg:7310;1st.prg:7311;1st.prg:7346,局部计算/临时变量,,低
iw_rqst_O,local int,1st.prg:7403;1st.prg:7568,1st.prg:7442;1st.prg:7443;1st.prg:7444;1st.prg:7445;1st.prg:7446;1st.prg:7447;1st.prg:7567,局部计算/临时变量,,低
iw_rqst_Q,local int,1st.prg:7401;1st.prg:7544,1st.prg:7435;1st.prg:7436;1st.prg:7437;1st.prg:7438;1st.prg:7439;1st.prg:7440;1st.prg:7543,局部计算/临时变量,,低
iw_rqst_Z,local int,1st.prg:7405;1st.prg:7601,1st.prg:7449;1st.prg:7450;1st.prg:7451;1st.prg:7452;1st.prg:7453;1st.prg:7454;1st.prg:7600,局部计算/临时变量,,低
iw_rspn,local int,1st.prg:6173;1st.prg:6386;1st.prg:6408;1st.prg:6423;1st.prg:6437;1st.prg:6451;1st.prg:6465;1st.prg:6479;1st.prg:6493;1st.prg:7183;1st.prg:7250;1st.prg:7290;1st.prg:7348,,设定值/目标位置,,高
iw_rspn_O,local int,1st.prg:7404;1st.prg:7569,,设定值/目标位置,,高
iw_rspn_Q,local int,1st.prg:7402;1st.prg:7545,,设定值/目标位置,,高
iw_rspn_Z,local int,1st.prg:7406;1st.prg:7603,,设定值/目标位置,,高
j,local int,1st.prg:8808;1st.prg:8811;1st.prg:8812;1st.prg:8813;1st.prg:8816;1st.prg:8817;1st.prg:8900,1st.prg:8809;1st.prg:8820;1st.prg:8898;1st.prg:8901,局部计算/临时变量,,低
jogVLVvelocity,local real,1st.prg:1398;1st.prg:1583;1st.prg:1586;1st.prg:1619;1st.prg:1622,1st.prg:1582;1st.prg:1584;1st.prg:1618;1st.prg:1620,运动参数/速度曲线,,高
k,local int,1st.prg:7742;1st.prg:7750;1st.prg:7751;1st.prg:7770;1st.prg:7771;1st.prg:10911;1st.prg:10914;1st.prg:10915,1st.prg:7743;1st.prg:7758;1st.prg:7768;1st.prg:7772;1st.prg:10912;1st.prg:10916,局部计算/临时变量,,低
lx,local real,1st.prg:8224;1st.prg:8370,1st.prg:8368,局部计算/临时变量,,低
maxAnalog,local real,1st.prg:31;1st.prg:729;1st.prg:1948;1st.prg:2641;1st.prg:3334;1st.prg:4027;1st.prg:4720;1st.prg:5413,,局部计算/临时变量,,低
minAnalog,local real,1st.prg:31;1st.prg:729;1st.prg:1948;1st.prg:2641;1st.prg:3334;1st.prg:4027;1st.prg:4720;1st.prg:5413,,局部计算/临时变量,,低
mshLCZ,unknown unknown,1st.prg:9002;1st.prg:9011;1st.prg:11828,1st.prg:8993;1st.prg:9012,通用控制变量,,中
mshLCZ_old,global real,1st.prg:6641;1st.prg:6676;1st.prg:8863,1st.prg:6678;1st.prg:9002,通用控制变量,,中
mshPreventMove,local int,1st.prg:6623;1st.prg:6747;1st.prg:6752,,互锁/运动阻止逻辑,,高
mshUCZ,unknown unknown,1st.prg:9003;1st.prg:9011;1st.prg:11829,1st.prg:8994;1st.prg:9013,通用控制变量,,中
mshUCZ_old,global real,1st.prg:6641;1st.prg:6681;1st.prg:8863,1st.prg:6683;1st.prg:9003,通用控制变量,,中
oGmCarHome_Switch,global int,1st.prg:6885;1st.prg:10573;1st.prg:10614,1st.prg:6973,通用控制变量,,中
oLL_Door_Closed,global int,1st.prg:6884;1st.prg:8875;1st.prg:9395;1st.prg:10180;1st.prg:10222,1st.prg:6972,通用控制变量,,中
oTIC_Local_Mode_Cmd,global int,1st.prg:6899;1st.prg:7045;1st.prg:7058;1st.prg:7103,1st.prg:6975,通用控制变量,,中
overshootturns,local real,1st.prg:10858;1st.prg:11078;1st.prg:11080,1st.prg:11076,局部计算/临时变量,,低
pressurePID_KD0,global real tag 1009,1st.prg:11497,,压力控制相关,0,中
pressurePID_KD1,global real tag 1209,1st.prg:1706;1st.prg:11579,1st.prg:1437;1st.prg:1686;1st.prg:1692;1st.prg:1697,压力控制相关,1,中
pressurePID_KD2,global real tag 1109,1st.prg:11538,,压力控制相关,2,中
pressurePID_KD3,global real tag 1309,1st.prg:11619,,压力控制相关,3,中
pressurePID_KD4,global real tag 1409,1st.prg:11659,,压力控制相关,4,中
pressurePID_KD5,global real tag 1609,1st.prg:11737,,压力控制相关,5,中
pressurePID_KD6,global real tag 1509,1st.prg:11698,,压力控制相关,6,中
pressurePID_KD7,global real tag 1709,1st.prg:11776,,压力控制相关,7,中
pressurePID_KI0,global real tag 1008,1st.prg:11496,,压力控制相关,0,中
pressurePID_KI1,global real tag 1208,1st.prg:1708;1st.prg:11578,1st.prg:1436;1st.prg:1685;1st.prg:1691;1st.prg:1696,压力控制相关,1,中
pressurePID_KI2,global real tag 1108,1st.prg:11537,,压力控制相关,2,中
pressurePID_KI3,global real tag 1308,1st.prg:11618,,压力控制相关,3,中
pressurePID_KI4,global real tag 1408,1st.prg:11658,,压力控制相关,4,中
pressurePID_KI5,global real tag 1608,1st.prg:11736,,压力控制相关,5,中
pressurePID_KI6,global real tag 1508,1st.prg:11697,,压力控制相关,6,中
pressurePID_KI7,global real tag 1708,1st.prg:11775,,压力控制相关,7,中
pressurePID_KP0,global real tag 1007,1st.prg:11495,,压力控制相关,0,中
pressurePID_KP1,global real tag 1207,1st.prg:1704;1st.prg:11577,1st.prg:1435;1st.prg:1684;1st.prg:1690;1st.prg:1695,压力控制相关,1,中
pressurePID_KP2,global real tag 1107,1st.prg:11536,,压力控制相关,2,中
pressurePID_KP3,global real tag 1307,1st.prg:11617,,压力控制相关,3,中
pressurePID_KP4,global real tag 1407,1st.prg:11657,,压力控制相关,4,中
pressurePID_KP5,global real tag 1607,1st.prg:11735,,压力控制相关,5,中
pressurePID_KP6,global real tag 1507,1st.prg:11696,,压力控制相关,6,中
pressurePID_KP7,global real tag 1707,1st.prg:11774,,压力控制相关,7,中
pressurePID_Loop_Time,local real,1st.prg:1393;1st.prg:1706;1st.prg:1708;1st.prg:1722,1st.prg:1448,压力控制相关,,中
pressure_measured_V,local real,1st.prg:1392;1st.prg:1491;1st.prg:1540;1st.prg:1547;1st.prg:1550;1st.prg:1553;1st.prg:1751;1st.prg:1754;1st.prg:1762;1st.prg:1770;1st.prg:1773,1st.prg:1752;1st.prg:1771,测量值/工作设定,,中
pressure_measured_V_prev,local real,1st.prg:1392;1st.prg:1762,1st.prg:1751;1st.prg:1770,测量值/工作设定,,中
pressure_sp_v,local real,1st.prg:1392;1st.prg:1487;1st.prg:1823,1st.prg:1486;1st.prg:1824,压力控制相关,,高
